Bloomsbury Publishing,"London, England"
FreePress,"New York, USA"
John Wiley & Sons,"New Jersey, USA"
Random House,"New York, USA"
Bantam Classics,"London, England"
Apress,"New York, USA"
Simon and Schuster,"New York, USA"
Signet Classics,"New York, USA"
Transworld Publishing,"London, England"
O'Reilly Media,"California, USA"
Headline Review,"London, England"
MIT Press,"Massachusetts, USA"
DoubleDay Publishing,"New York, USA"
Viking Press,"New York, USA"
Vikas Publishing,"Noida, India"
Mentor Books,"Dublin, Ireland"
Penguin Publishing,"London, England"
Hackett Publishing Company,"Indiana, USA"
DC Comics,"California, USA"
